model,turn,u,r,rho,p,q,n,sig,scope
Qwen,4,U2,AUR,0.015292724376938788,0.8985451094679988,1.0,72,False,per_turn
Qwen,4,U2,TD,0.07643618248365178,0.5233656271007764,0.7929782228799642,72,False,per_turn
Qwen,4,U2,FIX,-0.1424424489966181,0.23263113164470556,0.5485893716762533,72,False,per_turn
Qwen,4,U2,RT,-0.08790470049422948,0.46278725529187703,0.7490948176500373,72,False,per_turn
Qwen,4,U2,TN,-0.1413333813375509,0.23632593647090314,0.5485893716762533,72,False,per_turn
Qwen,4,U2,QOC,-0.04328537238250893,0.7180771965401697,0.9512724720495553,72,False,per_turn
Qwen,4,U2,LM,0.1572402091295107,0.1871360173194966,0.5485893716762533,72,False,per_turn
Qwen,4,U2,ME,,,1.0,72,False,per_turn
Qwen,4,U2,EMP,0.1598222115167897,0.17990738489837482,0.5485893716762533,72,False,per_turn
Qwen,4,U3,SEN,0.6457765999379483,9.065138375899302e-10,4.532569187949651e-08,72,True,per_turn
Qwen,4,U3,AUR,0.1544039060822218,0.19531588916643372,0.5485893716762533,72,False,per_turn
Qwen,4,U3,TD,0.1453682211608473,0.22307710101514414,0.5485893716762533,72,False,per_turn
Qwen,4,U3,FIX,0.30389487055903447,0.00945377488410869,0.09453774884108691,72,False,per_turn
Qwen,4,U3,RT,0.21097385783530265,0.07525228933649719,0.4180682740916511,72,False,per_turn
Qwen,4,U3,TN,0.16367308674135012,0.1695068466372122,0.5485893716762533,72,False,per_turn
Qwen,4,U3,QOC,-0.15995735039241835,0.17953471866143222,0.5485893716762533,72,False,per_turn
Qwen,4,U3,LM,0.044810871831797196,0.7085783637501655,0.9512724720495553,72,False,per_turn
Qwen,4,U3,ME,,,1.0,72,False,per_turn
Qwen,4,U3,EMP,0.32635720099004223,0.005144998413578048,0.08574997355963414,72,False,per_turn
Qwen,4,U4,SEN,-0.09090909090909091,0.44757542645397064,0.7490948176500373,72,False,per_turn
Qwen,4,U4,AUR,-0.08468054857160838,0.47942068329602383,0.7490948176500373,72,False,per_turn
Qwen,4,U4,TD,0.11596372397681609,0.3320258924575411,0.6519494637791484,72,False,per_turn
Qwen,4,U4,FIX,-0.16883116883116883,0.15627622634993957,0.5485893716762533,72,False,per_turn
Qwen,4,U4,RT,-0.08690845724147325,0.46789299562371334,0.7490948176500373,72,False,per_turn
Qwen,4,U4,TN,0.036899074298989254,0.7582922417770649,0.9721695407398269,72,False,per_turn
Qwen,4,U4,QOC,0.023200331457769823,0.8466128391087557,1.0,72,False,per_turn
Qwen,4,U4,LM,-0.0907416471904646,0.4484158403786822,0.7490948176500373,72,False,per_turn
Qwen,4,U4,ME,,,1.0,72,False,per_turn
Qwen,4,U4,EMP,-0.19674775073518588,0.09762542764627005,0.48812713823135023,72,False,per_turn
Qwen,4,U5,SEN,0.107723059648864,0.3677543468543828,0.681026568248857,72,False,per_turn
Qwen,4,U5,AUR,0.010434123151195948,0.9306800206638512,1.0,72,False,per_turn
Qwen,4,U5,TD,0.02024998143168644,0.8659249746244109,1.0,72,False,per_turn
Qwen,4,U5,FIX,0.007430993840748446,0.9506015575208735,1.0,72,False,per_turn
Qwen,4,U5,RT,-0.03302874078764767,0.7829871483857619,0.9787339354822023,72,False,per_turn
Qwen,4,U5,TN,-0.042502746882275316,0.7229670787576621,0.9512724720495553,72,False,per_turn
Qwen,4,U5,QOC,0.06207514404350902,0.6044536570218548,0.8635052243169354,72,False,per_turn
Qwen,4,U5,LM,0.17284732003625203,0.14651751266592772,0.5485893716762533,72,False,per_turn
Qwen,4,U5,ME,,,1.0,72,False,per_turn
