model,dataset,u,r,rho,p,q,n,sig,scope
Llama,HOPE,U1,TN,0.04068310631074072,0.4422111216028438,0.5392818556132242,359,False,per_dataset
Llama,HOPE,U1,QOC,-0.2683501657961137,2.446420543435994e-07,2.3042208928932685e-06,359,True,per_dataset
Llama,HOPE,U1,LM,0.09438419940078437,0.07408669149366089,0.14247440671857864,359,False,per_dataset
Llama,HOPE,U1,ME,-0.05984435219925888,0.2580769498252872,0.36374998326086,359,False,per_dataset
Llama,HOPE,U1,EMP,-0.06612430870613284,0.2113449478563422,0.3108013939063856,359,False,per_dataset
Llama,HOPE,U2,SEN,0.21392883091413079,4.3765696637365915e-05,0.00016832960245140736,359,True,per_dataset
Llama,HOPE,U2,AUR,-0.014190827508105089,0.7887350457612423,0.8390798359162153,359,False,per_dataset
Llama,HOPE,U2,TD,-0.01303655387818645,0.805561116466571,0.8391261629860115,359,False,per_dataset
Llama,HOPE,U2,FIX,0.20491713233132197,9.20434535307731e-05,0.00027071603979639144,359,True,per_dataset
Llama,HOPE,U2,RT,0.26603821603399863,3.12735929646772e-07,2.3042208928932685e-06,359,True,per_dataset
Llama,HOPE,U2,TN,0.0425513425828119,0.4215210145007201,0.5269012681259001,359,False,per_dataset
Llama,HOPE,U2,QOC,-0.07485016759620754,0.15699573413832946,0.25321892602956364,359,False,per_dataset
Llama,HOPE,U2,LM,0.0807649882880451,0.12665226730967105,0.2183659781201225,359,False,per_dataset
Llama,HOPE,U2,ME,-0.06992056858651924,0.1862335446069211,0.2909899134483142,359,False,per_dataset
Llama,HOPE,U2,EMP,0.036764976563214556,0.4874299562302975,0.5802737574170208,359,False,per_dataset
Llama,HOPE,U3,SEN,0.7720262537765411,2.9595042381371855e-72,1.4797521190685927e-70,359,True,per_dataset
Llama,HOPE,U3,AUR,0.20525427510943803,8.956983392745057e-05,0.00027071603979639144,359,True,per_dataset
Llama,HOPE,U3,TD,-0.14198736157267786,0.007048185923630448,0.01678139505626297,359,False,per_dataset
Llama,HOPE,U3,FIX,0.26188648622823374,4.83260173155857e-07,3.020376082224106e-06,359,True,per_dataset
Llama,HOPE,U3,RT,0.2691158421882381,2.254188788474465e-07,2.3042208928932685e-06,359,True,per_dataset
Llama,HOPE,U3,TN,0.2063483019856675,8.196676458559275e-05,0.00027071603979639144,359,True,per_dataset
Llama,HOPE,U3,QOC,-0.23500036825481171,6.786681311636858e-06,3.393340655818429e-05,359,True,per_dataset
Llama,HOPE,U3,LM,0.0347708324910504,0.5113646769026373,0.5946100894216713,359,False,per_dataset
Llama,HOPE,U3,ME,-0.024850864410296988,0.6388644745448553,0.7259823574373355,359,False,per_dataset
Llama,HOPE,U3,EMP,0.04951729000409991,0.3495200197719779,0.4522821703643912,359,False,per_dataset
Llama,HOPE,U4,SEN,-0.08279796795580686,0.11734478666374847,0.20954426189955083,359,False,per_dataset
Llama,HOPE,U4,AUR,-0.07641192101198162,0.14849631213979278,0.24749385356632128,359,False,per_dataset
Llama,HOPE,U4,TD,0.23324352764431736,7.98205172578504e-06,3.6282053299022906e-05,359,True,per_dataset
Llama,HOPE,U4,FIX,0.17256401664944515,0.0010275247635030897,0.0027040125355344466,359,False,per_dataset
Llama,HOPE,U4,RT,0.14979233445704881,0.004450547854725999,0.011126369636814997,359,False,per_dataset
Llama,HOPE,U4,TN,-0.12557464877217633,0.01729234461517445,0.03930078321630557,359,False,per_dataset
Llama,HOPE,U4,QOC,0.05735595261111795,0.2784345817635731,0.3762629483291528,359,False,per_dataset
Llama,HOPE,U4,LM,-0.10777886296486497,0.04125632100238346,0.08595066875496554,359,False,per_dataset
Llama,HOPE,U4,ME,-0.011414881779303457,0.8293510992318265,0.8462766318692108,359,False,per_dataset
Llama,HOPE,U4,EMP,-0.09032840486514128,0.08744995122995551,0.16194435412954725,359,False,per_dataset
Llama,HOPE,U5,SEN,0.3237921253276248,3.3068066284322773e-10,5.511344380720462e-09,359,True,per_dataset
