model,u,r,rho,p,q,n,sig,scope
Gemini,U1,ME,-0.03889057681615784,0.2976907220862774,0.41345933623094083,719,False,pooled
Gemini,U1,EMP,0.31823004124369725,2.1983812187260744e-18,2.747976523407593e-17,719,True,pooled
Gemini,U2,SEN,0.110884104597516,0.002908198802481937,0.006609542732913493,719,False,pooled
Gemini,U2,AUR,0.10824126240439369,0.0036620782755063482,0.007961039729361626,719,False,pooled
Gemini,U2,TD,0.0474400919240145,0.2038819933666174,0.3089121111615415,719,False,pooled
Gemini,U2,FIX,0.006440194473655535,0.8631310686754705,0.888864985289421,719,False,pooled
Gemini,U2,RT,0.015023763502733128,0.6875577406220563,0.7639530451356181,719,False,pooled
Gemini,U2,TN,-0.017849418300948387,0.6327763717696058,0.7261381060568896,719,False,pooled
Gemini,U2,QOC,-0.16680295882676982,6.910086976402199e-06,2.032378522471235e-05,719,False,pooled
Gemini,U2,LM,0.20371343930069155,3.5722344621497115e-08,1.2757980221963255e-07,719,True,pooled
Gemini,U2,ME,-0.05368359974525957,0.15043010067847684,0.24262919464270458,719,False,pooled
Gemini,U2,EMP,0.05099148251321361,0.1720004377235339,0.2687506839430217,719,False,pooled
Gemini,U3,SEN,0.763071163880568,4.778536710756556e-138,2.389268355378278e-136,719,True,pooled
Gemini,U3,AUR,0.30482433965574696,6.317989193611728e-17,6.317989193611727e-16,719,True,pooled
Gemini,U3,TD,0.006062405282733392,0.8710876855836327,0.888864985289421,719,False,pooled
Gemini,U3,FIX,0.2616265183879108,1.0213067393758327e-12,6.383167121098955e-12,719,True,pooled
Gemini,U3,RT,0.24860483140470424,1.370806953503654e-11,7.61559418613141e-11,719,True,pooled
Gemini,U3,TN,0.22693945848176686,7.503507684476337e-10,3.7517538422381685e-09,719,True,pooled
Gemini,U3,QOC,0.08396930731572382,0.02434580195309653,0.04869160390619306,719,False,pooled
Gemini,U3,LM,0.15268412697983413,3.9377295410647644e-05,0.0001093813761406879,719,False,pooled
Gemini,U3,ME,-0.012449499318438648,0.7389416928471763,0.8031974922251915,719,False,pooled
Gemini,U3,EMP,0.34087461840794764,5.077560333558383e-21,8.462600555930637e-20,719,True,pooled
Gemini,U4,SEN,0.03498156517180839,0.3489352989599579,0.4715341877837269,719,False,pooled
Gemini,U4,AUR,-0.07588319585408879,0.04193762522531189,0.08064927927944596,719,False,pooled
Gemini,U4,TD,0.11605882143483064,0.0018261085901334817,0.004565271475333704,719,False,pooled
Gemini,U4,FIX,0.03125143950554802,0.4027455104228834,0.5299283031880045,719,False,pooled
Gemini,U4,RT,0.017659649867037188,0.6363973208998039,0.7261381060568896,719,False,pooled
Gemini,U4,TN,0.0013470995281942445,0.9712356881810605,0.9712356881810605,719,False,pooled
Gemini,U4,QOC,-0.056168745196892716,0.13240480188972506,0.22067466981620845,719,False,pooled
Gemini,U4,LM,-0.0845028968139548,0.023452167553855766,0.04869160390619306,719,False,pooled
Gemini,U4,ME,-0.009058011889553304,0.8084194890400451,0.8600207330213245,719,False,pooled
Gemini,U4,EMP,-0.0636932155270624,0.08788849853769627,0.15694374738874334,719,False,pooled
Gemini,U5,SEN,0.20213635084476694,4.571420415976957e-08,1.5238068053256524e-07,719,True,pooled
Gemini,U5,AUR,0.1902301764535976,2.762221278840146e-07,8.631941496375457e-07,719,False,pooled
Gemini,U5,TD,0.021901358382049634,0.5576635871310953,0.6800775452818235,719,False,pooled
Gemini,U5,FIX,0.026969474478109077,0.47027154001113514,0.587839425013919,719,False,pooled
Gemini,U5,RT,0.0278882140110366,0.4552787367428418,0.5836906881318484,719,False,pooled
Gemini,U5,TN,0.04196615348444589,0.26108726913606206,0.3839518663765618,719,False,pooled
Gemini,U5,QOC,-0.06859966120560454,0.06600216868060547,0.12222623829741755,719,False,pooled
Gemini,U5,LM,0.21424354260097306,6.542239829782057e-09,2.5162460883777142e-08,719,True,pooled
Gemini,U5,ME,-0.03996136714659105,0.28457691410098546,0.4065384487156935,719,False,pooled
Gemini,U5,EMP,0.12621238569556117,0.0006939313032181782,0.00182613500846889,719,False,pooled
