model,U,R,n,rho,p,q,sig
Gemini,U4,SEN,100,0.05455447255899809,0.5898264149516119,0.7806526080241922,False
Gemini,U4,AUR,100,-0.028590829999890155,0.7776587040705815,0.8972985046968247,False
Gemini,U4,TD,100,0.18749999999999997,0.06175784540922296,0.3251215135408765,False
Gemini,U4,FIX,100,0.03240032276517079,0.7489579148247045,0.8869238465029397,False
Gemini,U4,RT,95,-0.0762201419497061,0.4628657185037698,0.6942985777556547,False
Gemini,U4,TN,100,-0.0770490113627403,0.44609773640359085,0.6942985777556547,False
Gemini,U4,QOC,100,-0.11273433416814262,0.2641080277532711,0.5402209658589636,False
Gemini,U4,LM,100,0.12095605789446195,0.23062111603192376,0.5360109996395651,False
Gemini,U4,ME,100,,,,
Gemini,U4,EMP,100,-0.06418811751265013,0.5257768091413364,0.7393736378550043,False
Gemini,U5,SEN,100,0.11607142857142855,0.2501384664984637,0.5360109996395651,False
Gemini,U5,AUR,100,0.12550608072816824,0.2134230477677128,0.5335576194192819,False
Gemini,U5,TD,100,0.15002479953724474,0.13626843437880576,0.4088053031364173,False
Gemini,U5,FIX,100,0.20544944643399174,0.040306502953079366,0.2844223841801895,False
Gemini,U5,RT,95,0.19008883025709383,0.06502430270817529,0.3251215135408765,False
Gemini,U5,TN,100,0.05716580719477705,0.5721191973943736,0.7801625419014184,False
Gemini,U5,QOC,100,-0.16022790837985607,0.11128558208447493,0.4088053031364173,False
Gemini,U5,LM,100,0.13576001469288937,0.1780523533987932,0.47131505311445254,False
Gemini,U5,ME,100,,,,
Gemini,U5,EMP,100,0.08332628758534183,0.409813766968137,0.6942985777556547,False
Llama,U1,SEN,100,0.26617457484494245,0.007433967432956168,0.1002043601461818,False
Llama,U1,AUR,100,0.09534091175211132,0.3453873545943569,0.6333108945961757,False
Llama,U1,TD,100,-0.21063603807114778,0.03541862659562709,0.15359999158201795,False
Llama,U1,FIX,100,0.025583801452789854,0.8005287609764622,0.8577093867604952,False
Llama,U1,RT,72,-0.05797945648436536,0.6285497711620013,0.7796163774119259,False
Llama,U1,TN,100,-0.19604152042222306,0.05060898474342617,0.16267173667529838,False
Llama,U1,QOC,100,0.05123440940290444,0.6126914523663707,0.7796163774119259,False
Llama,U1,LM,100,0.25985293948929106,0.00903116662886962,0.1002043601461818,False
Llama,U1,ME,100,,,,
Llama,U1,EMP,100,-0.1460734918979835,0.14701371663205004,0.3307808624221126,False
Llama,U2,SEN,100,0.24129245020543036,0.015587344911628278,0.1002043601461818,False
Llama,U2,AUR,100,-0.0734935814368685,0.4674223841555737,0.7011335762333605,False
Llama,U2,TD,100,0.09195549277220523,0.36286277269584666,0.6333108945961757,False
Llama,U2,FIX,100,0.24191328410993568,0.015314676537875025,0.1002043601461818,False
Llama,U2,RT,72,0.055886272646749946,0.6410179103164724,0.7796163774119259,False
Llama,U2,TN,100,0.08976110106810768,0.37447601924440266,0.6333108945961757,False
Llama,U2,QOC,100,0.061318334819184875,0.5444849981342824,0.7513541370212726,False
Llama,U2,LM,100,0.1673383956093824,0.09609217696888983,0.2446244416159781,False
Llama,U2,ME,100,,,,
Llama,U2,EMP,100,0.2083086068320876,0.03754666460893772,0.15359999158201795,False
Llama,U3,SEN,100,0.6123353850294765,1.2910100987207245e-11,5.809545444243261e-10,True
Llama,U3,AUR,100,-0.022791523311997044,0.8219178180743101,0.8601465537986966,False
Llama,U3,TD,100,-0.08884720507474368,0.3793785732158499,0.6333108945961757,False
Llama,U3,FIX,100,0.07630853775569749,0.45049340541009075,0.699041491153589,False
Llama,U3,RT,72,0.03612298124458384,0.7632257307535124,0.8376867776562941,False
Llama,U3,TN,100,0.171996205890247,0.08706001230989173,0.2446244416159781,False
